sender,receiver,subject,condition,neighbor
Participant A,Participant E,1,visible,n1
Participant B,Participant F,2,visible,n1
Participant C,Participant A,3,visible,n1
Participant E,Participant C,4,visible,n1
Participant D,Participant B,5,visible,n1
Participant F,Participant D,6,visible,n1
Participant F,Participant D,7,notVisible,n1
Participant D,Participant B,8,notVisible,n1
Participant B,Participant F,9,notVisible,n1
Participant C,Participant A,10,notVisible,n1
Participant E,Participant C,11,notVisible,n1
Participant A,Participant E,12,notVisible,n1
Participant A,Participant F,1,visible,n2
Participant B,Participant A,2,visible,n2
Participant C,Participant B,3,visible,n2
Participant E,Participant D,4,visible,n2
Participant D,Participant C,5,visible,n2
Participant F,Participant E,6,visible,n2
Participant F,Participant E,7,notVisible,n2
Participant D,Participant C,8,notVisible,n2
Participant B,Participant A,9,notVisible,n2
Participant C,Participant B,10,notVisible,n2
Participant E,Participant D,11,notVisible,n2
Participant A,Participant F,12,notVisible,n2
Participant A,Participant B,1,visible,n3
Participant B,Participant C,2,visible,n3
Participant C,Participant D,3,visible,n3
Participant E,Participant F,4,visible,n3
Participant D,Participant E,5,visible,n3
Participant F,Participant A,6,visible,n3
Participant F,Participant A,7,notVisible,n3
Participant D,Participant E,8,notVisible,n3
Participant B,Participant C,9,notVisible,n3
Participant C,Participant D,10,notVisible,n3
Participant E,Participant F,11,notVisible,n3
Participant A,Participant B,12,notVisible,n3
Participant A,Participant C,1,visible,n4
Participant B,Participant D,2,visible,n4
Participant C,Participant E,3,visible,n4
Participant E,Participant A,4,visible,n4
Participant D,Participant F,5,visible,n4
Participant F,Participant B,6,visible,n4
Participant F,Participant B,7,notVisible,n4
Participant D,Participant F,8,notVisible,n4
Participant B,Participant D,9,notVisible,n4
Participant C,Participant E,10,notVisible,n4
Participant E,Participant A,11,notVisible,n4
Participant A,Participant C,12,notVisible,n4
